INFO 2025-04-01 00:02:49,178 basehttp "GET /projects/?student=1&page_size=5&ordering=-updated_at HTTP/1.1" 200 52
INFO 2025-04-01 00:02:50,874 basehttp "GET /projects/?student=1&page_size=5&ordering=-updated_at HTTP/1.1" 200 52
INFO 2025-04-01 00:02:50,874 basehttp "GET /projects/?student=1&page_size=5&ordering=-updated_at HTTP/1.1" 200 52
WARNING 2025-04-01 00:02:53,359 log Not Found: /projects/NaN/
WARNING 2025-04-01 00:02:53,361 log Not Found: /projects/NaN/
WARNING 2025-04-01 00:02:53,361 basehttp "GET /projects/NaN/ HTTP/1.1" 404 24
WARNING 2025-04-01 00:02:53,361 basehttp "GET /projects/NaN/ HTTP/1.1" 404 24
INFO 2025-04-01 00:02:58,439 basehttp "GET /projects/?page=1 HTTP/1.1" 200 52
INFO 2025-04-01 00:02:58,441 basehttp "GET /projects/?page=1 HTTP/1.1" 200 52
INFO 2025-04-01 00:03:02,676 basehttp "GET /users/me/ HTTP/1.1" 200 225
INFO 2025-04-01 00:03:03,575 basehttp "GET /projects/?page=1 HTTP/1.1" 200 52
INFO 2025-04-01 00:03:03,575 basehttp "GET /projects/?page=1 HTTP/1.1" 200 52
INFO 2025-04-01 00:03:07,227 basehttp "GET /projects/?student=1&page_size=5&ordering=-updated_at HTTP/1.1" 200 52
INFO 2025-04-01 00:03:07,227 basehttp "GET /projects/?student=1&page_size=5&ordering=-updated_at HTTP/1.1" 200 52
INFO 2025-04-01 00:03:07,852 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 52
INFO 2025-04-01 00:03:07,852 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 52
INFO 2025-04-01 00:03:10,057 basehttp "GET /projects/?student=1&page_size=5&ordering=-updated_at HTTP/1.1" 200 52
INFO 2025-04-01 00:03:10,057 basehttp "GET /projects/?student=1&page_size=5&ordering=-updated_at HTTP/1.1" 200 52
INFO 2025-04-01 00:03:11,289 basehttp "GET /users/me/ HTTP/1.1" 200 225
INFO 2025-04-01 00:03:13,468 basehttp "GET /projects/?student=1&page_size=5&ordering=-updated_at HTTP/1.1" 200 52
INFO 2025-04-01 00:03:13,468 basehttp "GET /projects/?student=1&page_size=5&ordering=-updated_at HTTP/1.1" 200 52
WARNING 2025-04-01 00:03:14,581 log Not Found: /projects/NaN/
WARNING 2025-04-01 00:03:14,582 log Not Found: /projects/NaN/
WARNING 2025-04-01 00:03:14,583 basehttp "GET /projects/NaN/ HTTP/1.1" 404 24
WARNING 2025-04-01 00:03:14,583 basehttp "GET /projects/NaN/ HTTP/1.1" 404 24
WARNING 2025-04-01 00:05:38,444 log Not Found: /projects/NaN/
WARNING 2025-04-01 00:05:38,446 basehttp "GET /projects/NaN/ HTTP/1.1" 404 24
INFO 2025-04-01 00:05:38,449 basehttp "GET /users/me/ HTTP/1.1" 200 225
INFO 2025-04-01 00:07:08,754 basehttp "GET /users/me/ HTTP/1.1" 200 225
INFO 2025-04-01 00:07:25,516 basehttp "GET /users/me/ HTTP/1.1" 200 225
WARNING 2025-04-01 00:07:28,285 log Not Found: /projects/NaN/
WARNING 2025-04-01 00:07:28,287 basehttp "GET /projects/NaN/ HTTP/1.1" 404 24
INFO 2025-04-01 00:07:28,291 basehttp "GET /users/me/ HTTP/1.1" 200 225
